label,precision,recall,f1
0,0.37659574468085105,0.23443708609271524,0.28897959183673466
1,0.7,0.4534412955465587,0.5503685503685504
2,0.9,0.04568527918781726,0.08695652173913042
3,0.21428571428571427,0.008620689655172414,0.016574585635359115
4,0.0,0.0,0.0
5,1.0,0.003861003861003861,0.007692307692307693
6,0.7843137254901961,0.5,0.6106870229007634
7,0.4883720930232558,0.08536585365853659,0.1453287197231834
8,0.7266666666666667,0.4698275862068966,0.5706806282722513
9,0.5217391304347826,0.1111111111111111,0.183206106870229
10,0.6818181818181818,0.26785714285714285,0.3846153846153846
11,0.59375,0.05337078651685393,0.0979381443298969
12,0.40384615384615385,0.14893617021276595,0.21761658031088082
13,0.3576190476190476,0.9352428393524284,0.5173957974509128
