label,precision,recall,f1
0,0.47619047619047616,0.2913907284768212,0.3615447822514379
1,0.6896551724137931,0.16194331983805668,0.26229508196721313
2,0.43902439024390244,0.09137055837563451,0.15126050420168066
3,0.5,0.014367816091954023,0.027932960893854747
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.8556701030927835,0.778125,0.8150572831423896
7,0.5955056179775281,0.21544715447154472,0.31641791044776124
8,0.6557377049180327,0.3448275862068966,0.45197740112994345
9,0.6171875,0.24382716049382716,0.3495575221238938
10,0.5777777777777777,0.4642857142857143,0.5148514851485149
11,0.42857142857142855,0.033707865168539325,0.06249999999999999
12,0.48148148148148145,0.18439716312056736,0.26666666666666666
13,0.3711566617862372,0.9470734744707348,0.5333099579242636
