label,precision,recall,f1
0,0.544256120527307,0.3827814569536424,0.4494556765163298
1,0.7218045112781954,0.7773279352226721,0.7485380116959064
2,0.46601941747572817,0.2436548223350254,0.32
3,0.4444444444444444,0.16091954022988506,0.23628691983122363
4,0.5555555555555556,0.029411764705882353,0.0558659217877095
5,0.2,0.003861003861003861,0.007575757575757577
6,0.8817891373801917,0.8625,0.872037914691943
7,0.6222222222222222,0.34146341463414637,0.4409448818897638
8,0.7316017316017316,0.728448275862069,0.7300215982721382
9,0.6432748538011696,0.3395061728395062,0.4444444444444444
10,0.5714285714285714,0.6428571428571429,0.6050420168067226
11,0.5630252100840336,0.18820224719101122,0.28210526315789475
12,0.47191011235955055,0.2978723404255319,0.36521739130434777
13,0.43260669327602086,0.8773349937733499,0.5794776886695455
