label,precision,recall,f1
0,0.575139146567718,0.4105960264900662,0.47913446676970634
1,0.6925675675675675,0.8299595141700404,0.7550644567219152
2,0.48854961832061067,0.3248730964467005,0.39024390243902435
3,0.4585987261146497,0.20689655172413793,0.2851485148514852
4,0.6428571428571429,0.052941176470588235,0.09782608695652174
5,0.35,0.02702702702702703,0.05017921146953406
6,0.8825396825396825,0.86875,0.8755905511811024
7,0.6549707602339181,0.45528455284552843,0.5371702637889688
8,0.7233201581027668,0.7887931034482759,0.7546391752577319
9,0.6842105263157895,0.3611111111111111,0.4727272727272728
10,0.5487804878048781,0.8035714285714286,0.6521739130434783
11,0.656441717791411,0.300561797752809,0.41233140655105976
12,0.47107438016528924,0.40425531914893614,0.43511450381679384
13,0.46879194630872484,0.8698630136986302,0.6092455298735282
