label,precision,recall,f1
0,0.5117056856187291,0.4052980132450331,0.4523281596452328
1,0.704119850187266,0.7611336032388664,0.7315175097276264
2,0.4666666666666667,0.3197969543147208,0.37951807228915657
3,0.40229885057471265,0.20114942528735633,0.26819923371647514
4,0.42857142857142855,0.07058823529411765,0.1212121212121212
5,0.12280701754385964,0.02702702702702703,0.04430379746835443
6,0.8650306748466258,0.88125,0.8730650154798761
7,0.6166666666666667,0.45121951219512196,0.5211267605633803
8,0.7119341563786008,0.7456896551724138,0.728421052631579
9,0.6363636363636364,0.36728395061728397,0.46575342465753433
10,0.5308641975308642,0.7678571428571429,0.6277372262773723
11,0.4895833333333333,0.2640449438202247,0.34306569343065685
12,0.47058823529411764,0.3404255319148936,0.39506172839506176
13,0.46553552492046657,0.8200498132004981,0.59391206313416
