label,precision,recall,f1
0,0.5462794918330308,0.39867549668874175,0.46094946401225123
1,0.6860068259385665,0.8137651821862348,0.7444444444444444
2,0.4462809917355372,0.27411167512690354,0.33962264150943394
3,0.4626865671641791,0.1781609195402299,0.2572614107883818
4,0.5789473684210527,0.03235294117647059,0.06128133704735377
5,0.0,0.0,0.0
6,0.8808777429467085,0.878125,0.8794992175273866
7,0.6344827586206897,0.37398373983739835,0.4705882352941177
8,0.7093023255813954,0.7887931034482759,0.7469387755102042
9,0.6764705882352942,0.3549382716049383,0.46558704453441296
10,0.5333333333333333,0.7142857142857143,0.6106870229007633
11,0.546875,0.19662921348314608,0.2892561983471074
12,0.46296296296296297,0.3546099290780142,0.40160642570281124
13,0.45310989365130516,0.8754669987546699,0.5971543852197919
