label,precision,recall,f1
0,0.4607250755287009,0.40397350993377484,0.4304869442484121
1,0.698961937716263,0.8178137651821862,0.7537313432835822
2,0.45,0.27411167512690354,0.34069400630914826
3,0.41025641025641024,0.1839080459770115,0.25396825396825395
4,0.26262626262626265,0.07647058823529412,0.11845102505694761
5,0.06666666666666667,0.003861003861003861,0.0072992700729927
6,0.8664596273291926,0.871875,0.8691588785046728
7,0.5751633986928104,0.35772357723577236,0.4411027568922306
8,0.7612612612612613,0.728448275862069,0.7444933920704846
9,0.5891891891891892,0.33641975308641975,0.4282907662082515
10,0.5507246376811594,0.6785714285714286,0.608
11,0.4304635761589404,0.18258426966292135,0.2564102564102564
12,0.4270833333333333,0.2907801418439716,0.34599156118143454
13,0.4456371191135734,0.8013698630136986,0.5727636849132176
