label,precision,recall,f1
0,0.53125,0.3152317880794702,0.3956774729842062
1,0.746031746031746,0.5708502024291497,0.646788990825688
2,0.46153846153846156,0.15228426395939088,0.22900763358778628
3,0.5189873417721519,0.11781609195402298,0.1920374707259953
4,0.35714285714285715,0.029411764705882353,0.05434782608695653
5,0.22727272727272727,0.019305019305019305,0.03558718861209965
6,0.9176029962546817,0.765625,0.8347529812606473
7,0.5609756097560976,0.2804878048780488,0.3739837398373984
8,0.7412935323383084,0.6422413793103449,0.6882217090069285
9,0.6597222222222222,0.2932098765432099,0.40598290598290593
10,0.5833333333333334,0.5,0.5384615384615384
11,0.5842696629213483,0.14606741573033707,0.2337078651685393
12,0.4915254237288136,0.20567375886524822,0.29
13,0.3907230559345157,0.8916562889165629,0.5433504078922405
