label,precision,recall,f1
0,0.5412371134020618,0.41721854304635764,0.4712041884816754
1,0.6887417218543046,0.8421052631578947,0.7577413479052822
2,0.4603174603174603,0.29441624365482233,0.35913312693498456
3,0.43448275862068964,0.1810344827586207,0.25557809330628806
4,0.6,0.026470588235294117,0.05070422535211267
5,0.0,0.0,0.0
6,0.8757763975155279,0.88125,0.8785046728971962
7,0.6081081081081081,0.36585365853658536,0.45685279187817257
8,0.714859437751004,0.7672413793103449,0.7401247401247403
9,0.6845238095238095,0.3549382716049383,0.46747967479674796
10,0.5652173913043478,0.6964285714285714,0.6239999999999999
11,0.5441176470588235,0.20786516853932585,0.30081300813008127
12,0.45454545454545453,0.3546099290780142,0.398406374501992
13,0.4508519003931848,0.8567870485678705,0.5908115070845855
