label,precision,recall,f1
0,0.5770020533880903,0.37218543046357616,0.4524959742351046
1,0.718978102189781,0.7975708502024291,0.7562380038387716
2,0.5130434782608696,0.29949238578680204,0.37820512820512825
3,0.5274725274725275,0.13793103448275862,0.21867881548974946
4,0.6666666666666666,0.041176470588235294,0.0775623268698061
5,0.6,0.011583011583011582,0.022727272727272728
6,0.8825396825396825,0.86875,0.8755905511811024
7,0.6645569620253164,0.4268292682926829,0.5198019801980198
8,0.7327935222672065,0.7801724137931034,0.755741127348643
9,0.6907894736842105,0.32407407407407407,0.4411764705882353
10,0.5375,0.7678571428571429,0.6323529411764706
11,0.68,0.23876404494382023,0.35343035343035345
12,0.46153846153846156,0.3829787234042553,0.4186046511627907
13,0.44351851851851853,0.8947696139476962,0.5930664465538589
