label,precision,recall,f1
0,0.5489130434782609,0.4013245033112583,0.46365723029839323
1,0.6836734693877551,0.8137651821862348,0.7430683918669131
2,0.4661016949152542,0.27918781725888325,0.34920634920634924
3,0.46099290780141844,0.1867816091954023,0.2658486707566462
4,0.6111111111111112,0.03235294117647059,0.06145251396648045
5,0.0,0.0,0.0
6,0.8808777429467085,0.878125,0.8794992175273866
7,0.6388888888888888,0.37398373983739835,0.47179487179487173
8,0.7093023255813954,0.7887931034482759,0.7469387755102042
9,0.6764705882352942,0.3549382716049383,0.46558704453441296
10,0.5333333333333333,0.7142857142857143,0.6106870229007633
11,0.5511811023622047,0.19662921348314608,0.2898550724637681
12,0.46296296296296297,0.3546099290780142,0.40160642570281124
13,0.45387096774193547,0.8760896637608966,0.5979600509987251
