label,precision,recall,f1
0,0.5793499043977055,0.4013245033112583,0.47417840375586856
1,0.6955017301038062,0.8137651821862348,0.75
2,0.5039370078740157,0.3248730964467005,0.3950617283950617
3,0.48226950354609927,0.19540229885057472,0.27811860940695293
4,0.7142857142857143,0.04411764705882353,0.08310249307479227
5,0.42857142857142855,0.023166023166023165,0.04395604395604395
6,0.8801261829652997,0.871875,0.8759811616954474
7,0.6586826347305389,0.44715447154471544,0.5326876513317191
8,0.7233201581027668,0.7887931034482759,0.7546391752577319
9,0.6823529411764706,0.35802469135802467,0.46963562753036436
10,0.5180722891566265,0.7678571428571429,0.618705035971223
11,0.6470588235294118,0.27808988764044945,0.38899803536345773
12,0.46774193548387094,0.41134751773049644,0.4377358490566038
13,0.4637110016420361,0.8792029887920298,0.6071812513437971
