label,precision,recall,f1
0,0.5407279029462738,0.41324503311258276,0.46846846846846846
1,0.6902356902356902,0.8299595141700404,0.7536764705882352
2,0.4491525423728814,0.26903553299492383,0.33650793650793653
3,0.43537414965986393,0.1839080459770115,0.2585858585858586
4,0.38235294117647056,0.03823529411764706,0.06951871657754012
5,0.25,0.011583011583011582,0.022140221402214024
6,0.8860759493670886,0.875,0.8805031446540881
7,0.6078431372549019,0.3780487804878049,0.46616541353383456
8,0.7131782945736435,0.7931034482758621,0.7510204081632654
9,0.6666666666666666,0.36419753086419754,0.471057884231537
10,0.5507246376811594,0.6785714285714286,0.608
11,0.5205479452054794,0.21348314606741572,0.30278884462151395
12,0.46296296296296297,0.3546099290780142,0.40160642570281124
13,0.46003316749585405,0.8636363636363636,0.6003029647262498
