label,precision,recall,f1
0,0.5685920577617328,0.41721854304635764,0.4812834224598931
1,0.6912751677852349,0.8340080971659919,0.7559633027522936
2,0.4740740740740741,0.3248730964467005,0.38554216867469876
3,0.4425287356321839,0.22126436781609196,0.2950191570881226
4,0.53125,0.05,0.0913978494623656
5,0.38095238095238093,0.03088803088803089,0.05714285714285715
6,0.879746835443038,0.86875,0.8742138364779874
7,0.6491228070175439,0.45121951219512196,0.5323741007194245
8,0.7261904761904762,0.7887931034482759,0.756198347107438
9,0.6666666666666666,0.36419753086419754,0.471057884231537
10,0.5421686746987951,0.8035714285714286,0.6474820143884893
11,0.6470588235294118,0.3089887640449438,0.4182509505703422
12,0.47863247863247865,0.3971631205673759,0.43410852713178294
13,0.47420567133583874,0.8642590286425903,0.6123979704390028
