label,precision,recall,f1
0,0.5690909090909091,0.41456953642384103,0.4796934865900383
1,0.68561872909699,0.8299595141700404,0.7509157509157509
2,0.48175182481751827,0.3350253807106599,0.3952095808383234
3,0.45962732919254656,0.21264367816091953,0.2907662082514735
4,0.6818181818181818,0.04411764705882353,0.08287292817679559
5,0.4117647058823529,0.02702702702702703,0.050724637681159424
6,0.8832807570977917,0.875,0.8791208791208792
7,0.6470588235294118,0.44715447154471544,0.5288461538461539
8,0.7215686274509804,0.7931034482758621,0.7556468172484598
9,0.6904761904761905,0.35802469135802467,0.47154471544715443
10,0.5287356321839081,0.8214285714285714,0.6433566433566434
11,0.6358024691358025,0.2893258426966292,0.3976833976833977
12,0.47540983606557374,0.41134751773049644,0.4410646387832699
13,0.46993243243243243,0.8661270236612703,0.6092860271572493
