label,precision,recall,f1
0,0.5733590733590733,0.3933774834437086,0.46661429693637074
1,0.6993006993006993,0.8097165991902834,0.7504690431519699
2,0.5118110236220472,0.3299492385786802,0.4012345679012346
3,0.47540983606557374,0.16666666666666666,0.24680851063829787
4,0.6956521739130435,0.047058823529411764,0.08815426997245178
5,0.3333333333333333,0.015444015444015444,0.02952029520295203
6,0.8825396825396825,0.86875,0.8755905511811024
7,0.6646341463414634,0.44308943089430897,0.5317073170731708
8,0.7250996015936255,0.7844827586206896,0.753623188405797
9,0.6845238095238095,0.3549382716049383,0.46747967479674796
10,0.5308641975308642,0.7678571428571429,0.6277372262773723
11,0.6375838926174496,0.26685393258426965,0.3762376237623762
12,0.47107438016528924,0.40425531914893614,0.43511450381679384
13,0.4588996763754045,0.8829389788293898,0.6039182282793867
