label,precision,recall,f1
0,0.5754716981132075,0.40397350993377484,0.47470817120622566
1,0.688135593220339,0.8218623481781376,0.7490774907749077
2,0.49230769230769234,0.3248730964467005,0.39143730886850153
3,0.47619047619047616,0.20114942528735633,0.2828282828282828
4,0.7142857142857143,0.04411764705882353,0.08310249307479227
5,0.4666666666666667,0.02702702702702703,0.05109489051094891
6,0.8805031446540881,0.875,0.877742946708464
7,0.6506024096385542,0.43902439024390244,0.5242718446601942
8,0.7204724409448819,0.7887931034482759,0.7530864197530864
9,0.688622754491018,0.3549382716049383,0.4684317718940937
10,0.5340909090909091,0.8392857142857143,0.6527777777777777
11,0.6535947712418301,0.2808988764044944,0.39292730844793716
12,0.46774193548387094,0.41134751773049644,0.4377358490566038
13,0.4657171248757867,0.8754669987546699,0.608
