label,precision,recall,f1
0,0.5741811175337187,0.39470198675496687,0.46781789638932497
1,0.7031802120141343,0.805668016194332,0.7509433962264151
2,0.5076923076923077,0.3350253807106599,0.40366972477064217
3,0.49572649572649574,0.16666666666666666,0.24946236559139784
4,0.7368421052631579,0.041176470588235294,0.07799442896935933
5,0.5,0.019305019305019305,0.03717472118959108
6,0.8801261829652997,0.871875,0.8759811616954474
7,0.6524390243902439,0.4349593495934959,0.521951219512195
8,0.7330677290836654,0.7931034482758621,0.761904761904762
9,0.6851851851851852,0.3425925925925926,0.45679012345679015
10,0.5294117647058824,0.8035714285714286,0.6382978723404256
11,0.6496350364963503,0.25,0.36105476673427994
12,0.46774193548387094,0.41134751773049644,0.4377358490566038
13,0.4554519137986491,0.8816936488169365,0.6006362672322376
