label,precision,recall,f1
0,0.577922077922078,0.3536423841059603,0.4387838948233361
1,0.7272727272727273,0.7773279352226721,0.75146771037182
2,0.51,0.25888324873096447,0.3434343434343434
3,0.5492957746478874,0.11206896551724138,0.18615751789976132
4,0.6666666666666666,0.041176470588235294,0.0775623268698061
5,0.25,0.003861003861003861,0.007604562737642586
6,0.8906752411575563,0.865625,0.8779714738510301
7,0.6778523489932886,0.4105691056910569,0.5113924050632911
8,0.7327935222672065,0.7801724137931034,0.755741127348643
9,0.6933333333333334,0.32098765432098764,0.43881856540084385
10,0.5324675324675324,0.7321428571428571,0.6165413533834586
11,0.6814159292035398,0.21629213483146068,0.3283582089552239
12,0.48598130841121495,0.36879432624113473,0.41935483870967744
13,0.43270665472993136,0.9028642590286425,0.5850312689126488
