label,precision,recall,f1
0,0.5708884688090737,0.4,0.470404984423676
1,0.7071428571428572,0.8016194331983806,0.7514231499051235
2,0.47413793103448276,0.27918781725888325,0.35143769968051125
3,0.4573643410852713,0.16954022988505746,0.24737945492662472
4,0.5625,0.052941176470588235,0.09677419354838708
5,0.3684210526315789,0.02702702702702703,0.050359712230215826
6,0.8903225806451613,0.8625,0.8761904761904762
7,0.6484848484848484,0.4349593495934959,0.5206812652068126
8,0.7250996015936255,0.7844827586206896,0.753623188405797
9,0.6823529411764706,0.35802469135802467,0.46963562753036436
10,0.5384615384615384,0.75,0.6268656716417911
11,0.6178343949044586,0.27247191011235955,0.37816764132553604
12,0.47863247863247865,0.3971631205673759,0.43410852713178294
13,0.4590110605074821,0.8785803237858032,0.6029914529914528
