label,precision,recall,f1
0,0.544954128440367,0.3933774834437086,0.4569230769230769
1,0.6907216494845361,0.8137651821862348,0.7472118959107806
2,0.4444444444444444,0.2639593908629442,0.33121019108280253
3,0.4393939393939394,0.16666666666666666,0.24166666666666667
4,0.6,0.03529411764705882,0.06666666666666667
5,0.25,0.007722007722007722,0.014981273408239702
6,0.879746835443038,0.86875,0.8742138364779874
7,0.636986301369863,0.3780487804878049,0.4744897959183673
8,0.7120622568093385,0.7887931034482759,0.7484662576687117
9,0.6686046511627907,0.3549382716049383,0.46370967741935487
10,0.527027027027027,0.6964285714285714,0.5999999999999999
11,0.53125,0.19101123595505617,0.28099173553719003
12,0.4727272727272727,0.36879432624113473,0.4143426294820717
13,0.45290903246544517,0.8773349937733499,0.5974136103455586
