label,precision,recall,f1
0,0.5344827586206896,0.4105960264900662,0.4644194756554307
1,0.7050359712230215,0.7935222672064778,0.7466666666666667
2,0.46153846153846156,0.27411167512690354,0.3439490445859872
3,0.4276315789473684,0.1867816091954023,0.26
4,0.4126984126984127,0.07647058823529412,0.12903225806451613
5,0.30303030303030304,0.03861003861003861,0.0684931506849315
6,0.8903225806451613,0.8625,0.8761904761904762
7,0.6341463414634146,0.42276422764227645,0.5073170731707317
8,0.728,0.7844827586206896,0.7551867219917011
9,0.6304347826086957,0.35802469135802467,0.4566929133858268
10,0.5466666666666666,0.7321428571428571,0.6259541984732825
11,0.5965909090909091,0.2949438202247191,0.39473684210526316
12,0.4818181818181818,0.375886524822695,0.42231075697211157
13,0.4674616695059625,0.8542963885429639,0.6042721867430082
