label,precision,recall,f1
0,0.566003616636528,0.41456953642384103,0.4785932721712538
1,0.6866666666666666,0.8340080971659919,0.753199268738574
2,0.4855072463768116,0.3401015228426396,0.4
3,0.4378698224852071,0.21264367816091953,0.2862669245647969
4,0.625,0.04411764705882353,0.08241758241758243
5,0.4,0.03088803088803089,0.057347670250896064
6,0.8805031446540881,0.875,0.877742946708464
7,0.6416184971098265,0.45121951219512196,0.5298329355608592
8,0.7233201581027668,0.7887931034482759,0.7546391752577319
9,0.6781609195402298,0.36419753086419754,0.4738955823293172
10,0.5301204819277109,0.7857142857142857,0.6330935251798562
11,0.6390532544378699,0.30337078651685395,0.4114285714285715
12,0.47107438016528924,0.40425531914893614,0.43511450381679384
13,0.4716916780354707,0.861145703611457,0.6095196121639489
