label,precision,recall,f1
0,0.5714285714285714,0.3973509933774834,0.46874999999999994
1,0.6982456140350877,0.805668016194332,0.7481203007518797
2,0.5116279069767442,0.3350253807106599,0.40490797546012275
3,0.5086206896551724,0.16954022988505746,0.2543103448275862
4,0.75,0.04411764705882353,0.08333333333333334
5,0.45454545454545453,0.019305019305019305,0.037037037037037035
6,0.8808777429467085,0.878125,0.8794992175273866
7,0.6583850931677019,0.43089430894308944,0.520884520884521
8,0.7349397590361446,0.7887931034482759,0.7609147609147608
9,0.6894409937888198,0.3425925925925926,0.4577319587628866
10,0.5294117647058824,0.8035714285714286,0.6382978723404256
11,0.6382978723404256,0.25280898876404495,0.36217303822937624
12,0.4603174603174603,0.41134751773049644,0.43445692883895126
13,0.4562762181348822,0.8804483188044832,0.6010626992561104
